environment,model_name,Scientific_Name,most_common_species
Brackishwater,atlantic_salmon,Salmo trutta,Salmo trutta
Brackishwater,drum_croaker,Argyrosomus japonicus; Argyrosomus regius; Cilus gilberti; Micropogonias furnieri; Sciaenops ocellatus,Argyrosomus regius
Brackishwater,european_seabass,Dicentrarchus labrax; Dicentrarchus punctatus; Dicentrarchus spp,Dicentrarchus labrax
Brackishwater,golden_pompano,Trachinotus blochii,Trachinotus blochii
Brackishwater,grouper,Cephalopholis argus; Chromileptes altivelis; Epinephelus coioides; Epinephelus fuscoguttatus; Epinephelus lanceolatus; Epinephelus longispinis; Epinephelus malabaricus; Epinephelus spp; Gracila albomarginata; Plectropomus maculatus; Serranidae,Epinephelus spp
Brackishwater,japanese_seabass,Lateolabrax japonicus,Lateolabrax japonicus
Brackishwater,milkfish,Chanos chanos,Chanos chanos
Brackishwater,mud_crab,Scylla olivacea; Scylla paramamosain; Scylla serrata; Scylla spp,Scylla paramamosain
Brackishwater,nile_tilapia,Oreochromis mossambicus; Oreochromis niloticus; Oreochromis spilurus; Oreochromis spp; Sarotherodon melanotheron,Oreochromis niloticus
Brackishwater,olive_flounder,Bothidae; Paralichthys adspersus; Paralichthys olivaceus; Platichthys flesus; Pleuronectidae,Bothidae
Brackishwater,rainbow_trout,Oncorhynchus mykiss; Salvelinus alpinus,Salvelinus alpinus
Brackishwater,seabream,Acanthopagrus schlegelii; Diplodus puntazzo; Diplodus sargus; Pagrus major; Sparidae; Sparus aurata,Sparus aurata
Brackishwater,tiger_prawn,Penaeus monodon,Penaeus monodon
Brackishwater,whiteleg_shrimp,Metapenaeopsis novaeguineae; Metapenaeus ensis; Metapenaeus monoceros; Metapenaeus spp; Natantia; Penaeus aztecus; Penaeus chinensis; Penaeus indicus; Penaeus japonicus; Penaeus kerathurus; Penaeus merguiensis; Penaeus penicillatus; Penaeus schmitti; Penaeus semisulcatus; Penaeus setiferus; Penaeus spp; Penaeus stylirostris; Penaeus subtilis; Penaeus vannamei,Penaeus vannamei
Marine,atlantic_salmon,Salmo salar; Salmo spp; Salmo trutta; Salmonidae; Salmoniformes (=Salmonoidei),Salmo salar
Marine,drum_croaker,Argyrosomus japonicus; Argyrosomus regius; Larimichthys crocea; Miichthys miiuy; Sciaena spp; Sciaenidae; Sciaenops ocellatus; Umbrina cirrosa; Umbrina spp,Larimichthys crocea
Marine,european_seabass,Dicentrarchus labrax; Dicentrarchus punctatus; Dicentrarchus spp; Morone chrysops x M. saxatilis; Morone saxatilis,Dicentrarchus labrax
Marine,golden_pompano,Trachinotus blochii; Trachinotus carolinus; Trachinotus ovatus,Trachinotus ovatus
Marine,grouper,Chromileptes altivelis; Epinephelus akaara; Epinephelus areolatus; Epinephelus bleekeri; Epinephelus coioides; Epinephelus fasciatus; Epinephelus fuscoguttatus; Epinephelus fuscoguttatus x E. lanceolatus; Epinephelus lanceolatus; Epinephelus longispinis; Epinephelus malabaricus; Epinephelus spp; Epinephelus tauvina; Epinephelus tukula; Hyporthodus septemfasciatus; Mycteroperca bonaci; Plectropomus laevis; Plectropomus leopardus; Plectropomus maculatus; Plectropomus oligacanthus; Serranidae,Epinephelus spp
Marine,japanese_amberjack,Seriola dumerili; Seriola lalandi; Seriola quinqueradiata; Seriola rivoliana; Seriola spp,Seriola quinqueradiata
Marine,japanese_seabass,Lateolabrax japonicus,Lateolabrax japonicus
Marine,milkfish,Chanos chanos,Chanos chanos
Marine,mud_crab,Scylla olivacea; Scylla serrata,Scylla serrata
Marine,nile_tilapia,Oreochromis mossambicus; Oreochromis spp,Oreochromis spp
Marine,olive_flounder,Paralichthys olivaceus; Paralichthys spp; Platichthys flesus; Pleuronectiformes,Paralichthys olivaceus
Marine,rainbow_trout,Oncorhynchus gorbuscha; Oncorhynchus keta; Oncorhynchus kisutch; Oncorhynchus masou; Oncorhynchus mykiss; Oncorhynchus nerka; Oncorhynchus tshawytscha,Oncorhynchus mykiss
Marine,seabream,Acanthopagrus bifasciatus; Acanthopagrus latus; Acanthopagrus schlegelii; Dentex dentex; Dentex gibbosus; Diplodus puntazzo; Diplodus sargus; Diplodus spp; Diplodus vulgaris; Evynnis tumifrons; Pagellus bogaraveo; Pagellus erythrinus; Pagrus auriga; Pagrus caeruleostictus; Pagrus major; Pagrus pagrus; Pagrus spp; Rhabdosargus sarba; Sparidae; Sparidentex hasta; Sparus aurata,Sparus aurata
Marine,tiger_prawn,Penaeus merguiensis,Penaeus merguiensis
Marine,tuna,Thunnus albacares; Thunnus maccoyii; Thunnus orientalis; Thunnus thynnus,Thunnus thynnus
Marine,whiteleg_shrimp,Metapenaeus spp; Penaeus japonicus; Penaeus monodon; Penaeus spp; Penaeus stylirostris; Penaeus vannamei,Penaeus stylirostris
