environment,Scientific_Name,model_name,notes
Marine,Acanthopagrus,blackhead_seabream,
Brackishwater,Acanthopagrus,blackhead_seabream,
Brackishwater,Acanthopagrus schlegelii,blackhead_seabream,
Brackishwater,Acetes,general_crustacean,
Brackishwater,Actinopterygii,general_fish,
Brackishwater,Actinopterygii,general_fish,
Marine,Actinopterygii,general_fish,
Brackishwater,Alitta,worm,
Brackishwater,Alitta virens (formerly Nereis virens),worm,
Marine,Apostichopus,japanese_sea_cucumber,
Marine,Apostichopus japonicus,japanese_sea_cucumber,
Brackishwater,Arenicola,worm,
Brackishwater,Arenicola marina,worm,
Brackishwater,Argyrosomus,meagre,
Marine,Argyrosomus,meagre,
Brackishwater,Argyrosomus regius,meagre,
Marine,Argyrosomus regius,meagre,
Brackishwater,Artemia,general_crustacean,
Marine,Artemia,general_crustacean,
Marine,Ascidiacea,general_ascidians,
Brackishwater,Bothidae,olive_flounder,
Brackishwater,Brachyura,swimming_crab,
Marine,Brachyura,swimming_crab,
Brackishwater,Callinectes,swimming_crab,
Brackishwater,Carcinus,general_crustacean,
Marine,Carcinus,general_crustacean,
Brackishwater,Carpilius,general_crustacean,
Brackishwater,Cephalopholis,grouper,
Brackishwater,Chanos,milkfish,
Marine,Chanos,milkfish,
Brackishwater,Chanos chanos,milkfish,
Marine,Chanos chanos,milkfish,
Brackishwater,Chelon,flathead_grey_mullet,
Brackishwater,Chromileptes,grouper,
Marine,Chromileptes,grouper,
Brackishwater,Cilus,drum,
Brackishwater,Cilus gilberti,drum,
Marine,Concholepas,general_gastropod,
Brackishwater,Ctenopharyngodon,carp,
Brackishwater,Ctenopharyngodon idella,carp,
Brackishwater,Cyprinus,carp,
Brackishwater,Cyprinus carpio,carp,
Marine,Dentex,red_seabream,
Brackishwater,Dicentrarchus,european_seabass,
Marine,Dicentrarchus,european_seabass,
Brackishwater,Dicentrarchus labrax,european_seabass,
Marine,Dicentrarchus labrax,european_seabass,
Brackishwater,Diplodus,red_seabream,
Marine,Diplodus,red_seabream,
Brackishwater,Eleutheronema,fourfinger_threadfin,
Marine,Eleutheronema,fourfinger_threadfin,
Brackishwater,Eleutheronema tetradactylum,fourfinger_threadfin,
Marine,Eleutheronema tetradactylum,fourfinger_threadfin,
Brackishwater,Ellochelon,flathead_grey_mullet,
Brackishwater,Epinephelus,grouper,
Marine,Epinephelus,grouper,
Marine,Evynnis,red_seabream,
Marine,Gastropoda,general_gastropod,
Brackishwater,Gracila,grouper,
Brackishwater,Haliotis,abalone,
Marine,Haliotis,abalone,
Brackishwater,Haliotis midae,abalone,
Brackishwater,Haliotis rufescens,abalone,
Marine,Halocynthia,general_ascidians,
Marine,Halocynthia roretzi,general_ascidians,
Brackishwater,Holothuria,sandfish_sea_cucumber,
Marine,Holothuria,sandfish_sea_cucumber,
Brackishwater,Holothuria scabra,sandfish_sea_cucumber,
Marine,Holothuroidea,sandfish_sea_cucumber,
Brackishwater,Hypophthalmichthys,carp,
Brackishwater,Hypophthalmichthys molitrix,carp,
Brackishwater,Hypophthalmichthys nobilis,carp,
Marine,Hyporthodus,grouper,
Brackishwater,Invertebrata,general_invertebrate,
Marine,Invertebrata,general_invertebrate,
Marine,Larimichthys,large_yellow_croaker,
Marine,Larimichthys crocea,large_yellow_croaker,
Brackishwater,Lateolabrax,japanese_seabass,
Marine,Lateolabrax,japanese_seabass,
Brackishwater,Lateolabrax japonicus,japanese_seabass,
Brackishwater,Lates,barramundi,
Marine,Lates,barramundi,
Brackishwater,Lates calcarifer,barramundi,
Marine,Lates calcarifer,barramundi,
Marine,Maja,general_crustacean,
Brackishwater,Metapenaeopsis,whiteleg_shrimp,
Brackishwater,Metapenaeus,whiteleg_shrimp,
Marine,Metapenaeus,whiteleg_shrimp,
Brackishwater,Micropogonias,whitemouth_croaker,
Brackishwater,Micropogonias furnieri,whitemouth_croaker,
Brackishwater,Micropterus,largemouth_bass,
Marine,Miichthys,large_yellow_croaker,
Marine,Miyakella,general_crustacean,
Marine,Morone,european_seabass,
Brackishwater,Mugil,flathead_grey_mullet,
Marine,Mugil,flathead_grey_mullet,
Brackishwater,Mugil cephalus,flathead_grey_mullet,
Marine,Mugil cephalus,flathead_grey_mullet,
Brackishwater,Mugilidae,flathead_grey_mullet,
Marine,Mugilidae,flathead_grey_mullet,
Marine,Mycteroperca,grouper,
Brackishwater,Natantia,whiteleg_shrimp,
Brackishwater,Oncorhynchus,rainbow_trout,
Marine,Oncorhynchus,rainbow_trout,
Marine,Oncorhynchus kisutch,rainbow_trout,
Brackishwater,Oncorhynchus mykiss,rainbow_trout,
Marine,Oncorhynchus mykiss,rainbow_trout,
Brackishwater,Oreochromis,nile_tilapia,
Brackishwater,Oreochromis,nile_tilapia,
Marine,Oreochromis,nile_tilapia,
Brackishwater,Oreochromis mossambicus,nile_tilapia,
Marine,Oreochromis mossambicus,nile_tilapia,
Brackishwater,Oreochromis niloticus,nile_tilapia,
Brackishwater,Osteichthyes,general_fish,
Brackishwater,Osteichthyes,general_fish,
Marine,Osteichthyes,general_fish,
Marine,Pagellus,red_seabream,
Brackishwater,Pagrus,red_seabream,
Marine,Pagrus,red_seabream,
Marine,Pagrus major,red_seabream,
Brackishwater,Palaemonidae,giant_river_prawn,
Brackishwater,Paralichthys,olive_flounder,
Marine,Paralichthys,olive_flounder,
Brackishwater,Paralichthys olivaceus,olive_flounder,
Marine,Paralichthys olivaceus,olive_flounder,
Marine,Paralithodes,general_crustacean,
Brackishwater,Penaeus,whiteleg_shrimp,
Marine,Penaeus,whiteleg_shrimp,
Marine,Penaeus merguiensis,banana_prawn,
Brackishwater,Penaeus monodon,tiger_prawn,
Brackishwater,Penaeus vannamei,whiteleg_shrimp,
Marine,Penaeus vannamei,whiteleg_shrimp,
Brackishwater,Platichthys,olive_flounder,
Brackishwater,Platichthys,olive_flounder,
Marine,Platichthys,olive_flounder,
Brackishwater,Plectropomus,grouper,
Brackishwater,Plectropomus,grouper,
Marine,Plectropomus,grouper,
Brackishwater,Pleuronectidae,olive_flounder,
Marine,Pleuronectiformes,olive_flounder,
Marine,Polydactylus,fourfinger_threadfin,
Brackishwater,Portunus,swimming_crab,
Marine,Portunus,swimming_crab,
Brackishwater,Rachycentron,cobia,
Marine,Rachycentron,cobia,
Marine,Rachycentron canadum,cobia,
Brackishwater,Rachycentron canadum,cobia,
Marine,Rapana,rapa_whelk,
Marine,Rhabdosargus,red_seabream,
Marine,Rochia,general_gastropod,
Brackishwater,Salmo,atlantic_salmon,
Marine,Salmo,atlantic_salmon,
Brackishwater,Salmo salar,atlantic_salmon,
Marine,Salmo salar,atlantic_salmon,
Marine,Salmonidae,atlantic_salmon,
Marine,Salmoniformes,atlantic_salmon,
Marine,Salvelinus,arctic_char,
Brackishwater,Salvelinus,arctic_char,
Brackishwater,Salvelinus alpinus,arctic_char,
Brackishwater,Sarotherodon,nile_tilapia,
Marine,Sciaena,meagre,
Brackishwater,Sciaena,meagre,
Brackishwater,Sciaena umbra,meagre,
Marine,Sciaenidae,drum,
Brackishwater,Sciaenops,drum,
Marine,Sciaenops,drum,
Marine,Sciaenops ocellatus,drum,
Brackishwater,Sciaenops ocellatus,drum,
Brackishwater,Scophthalmus,turbot,
Marine,Scophthalmus,turbot,
Brackishwater,Scophthalmus maximus,turbot,
Marine,Scophthalmus maximus,turbot,
Brackishwater,Scylla,mud_crab,
Marine,Scylla,mud_crab,
Brackishwater,Scylla paramamosain,mud_crab,
Brackishwater,Scylla serrata,mud_crab,
Marine,Scylla serrata,mud_crab,
Marine,Seriola,japanese_amberjack,
Brackishwater,Seriola,yellowtail_kingfish,
Brackishwater,Seriola lalandi,yellowtail_kingfish,
Marine,Seriola quinqueradiata,japanese_amberjack,
Brackishwater,Serranidae,grouper,
Marine,Serranidae,grouper,
Brackishwater,Sparidae,red_seabream,
Marine,Sparidae,red_seabream,
Marine,Sparidentex,red_seabream,
Brackishwater,Sparus,gilthead_seabream,
Marine,Sparus,gilthead_seabream,
Marine,Sparus aurata,gilthead_seabream,
Brackishwater,Sparus aurata,gilthead_seabream,
Marine,Thunnus,tuna,
Marine,Thunnus albacares,tuna,
Marine,Thunnus maccoyii,tuna,
Marine,Thunnus orientalis,tuna,
Marine,Thunnus thynnus,tuna,
Brackishwater,Trachinotus,golden_pompano,
Marine,Trachinotus,golden_pompano,
Marine,Trachinotus ovatus,golden_pompano,"Single species (one country: China). T. ovatus (golden pompano) is a major marine cage aquaculture species in South China, distinct from all other species in the dataset. Assigned new model key golden_pompano."
Marine,Trochita,general_gastropod,
Marine,Umbrina,drum,
Marine,Umbrina cirrosa,drum,
Marine,Umbrina spp,drum,
